Date,Time,Station,SamplingMethod,Depth,Lab,OrigTaxon,Taxon,Kingdom,Phylum,Class,AlgalGroup,DiatomSoftbody,Genus,Species,Units_per_mL,Cells_per_mL,Biovolume_per_mL,PhytoForm,QualityCheck,Debris
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Rhoicosphenia abbreviata,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Rhoicosphenia,abbreviata,128.69,257.39,58957.3,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Ulnaria sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Diatom,Ulnaria,sp.,514.78,4118.22,375298.06,i,Fragmented BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,128.69,257.39,2958.43,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,Monoraphidium arcuatum,Ankistrodesmus arcuatus,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Ankistrodesmus,arcuatus,64.35,64.35,4846.8,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Monoraphidium contortum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,contortum,64.35,64.35,504.88,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Cryptomonas erosa,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Cryptomonas,erosa,64.35,64.35,30173.58,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Cryptomonas ovata,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Cryptomonas,ovata,128.69,257.39,338737.61,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,514.78,4118.22,1090543.95,i,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,23937.13,21854595.4,5858831.23,c,BrokenDiatoms,low
2013-10-31T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Eucapsis cf. starmachii,NA,NA,NA,NA,Soft Body,Eucapsis,starmachii,193.04,1544.33,5546.25,c,BrokenDiatoms,low
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,180.17,360.34,143354.64,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,180.17,360.34,72138.07,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Encyonema sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Encyonema,sp.,90.09,90.09,44993.58,i,Fragmented,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Nitzschia dissipata,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,dissipata,90.09,90.09,21312.36,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,90.09,90.09,10727.84,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Planothidium sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Planothidium,sp.,90.09,90.09,20419.4,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Reimeria sinuata,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Reimeria,sinuata,90.09,90.09,16738.67,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Ulnaria sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Diatom,Ulnaria,sp.,90.09,90.09,13366.85,i,Fragmented,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Ulnaria sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Diatom,Ulnaria,sp.,90.09,90.09,1474961.17,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,270.26,810.77,74552.45,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Monoraphidium contortum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,contortum,180.17,360.34,19658.47,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,270.26,810.77,175470.97,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Plagioselmis lacustris,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,lacustris,180.17,360.34,310889.93,i,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,53961.49,72146508.52,19341205.33,c,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Geitlerinema sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Geitlerinema,sp.,90.09,990.95,945.62,f,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,cf. Glaucospira sp.,NA,NA,NA,NA,Soft Body,Glaucospira,sp.,270.26,6756.45,2716.93,f,Good,moderate
2013-12-17T00:00:00Z,01:20,SHR,Dippole bottle grab,NA,BSA,NA,Planktolyngbya sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Planktolyngbya,sp.,270.26,9729.28,3369.84,f,Good,moderate
2013-11-05T00:00:00Z,01:40,LIS,Dippole bottle grab,NA,BSA,NA,Aulacoseira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Aulacoseira,sp.,300.29,300.29,120107.95,i,Fragmented,moderate
2013-11-05T00:00:00Z,01:40,LIS,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,900.86,2702.58,246289.35,i,Good,moderate
2013-11-05T00:00:00Z,01:40,LIS,Dippole bottle grab,NA,BSA,NA,Nitzschia palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,palea,300.29,300.29,61586.06,i,Good,moderate
2013-11-05T00:00:00Z,01:40,LIS,Dippole bottle grab,NA,BSA,NA,Ankistrodesmus nannoselene,NA,NA,NA,NA,Soft Body,Ankistrodesmus,nannoselene,900.86,2702.58,48657.39,i,Good,moderate
2013-11-05T00:00:00Z,01:40,LIS,Dippole bottle grab,NA,BSA,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlamydomonas,sp.,300.29,300.29,7964.15,i,Good,moderate
2013-11-05T00:00:00Z,01:40,LIS,Dippole bottle grab,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,600.57,1201.15,191139.53,i,Good,moderate
2013-11-05T00:00:00Z,01:40,LIS,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,132426.35,119448571.74,32022053.46,c,Good,moderate
2013-10-30T00:00:00Z,00:50,STTD,Dippole bottle grab,NA,BSA,NA,cf. Cocconeis sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,sp.,300.29,300.29,18464.72,i,Good,high
2013-10-30T00:00:00Z,00:50,STTD,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,1201.15,4804.58,764558.1,i,Good,high
2013-10-30T00:00:00Z,00:50,STTD,Dippole bottle grab,NA,BSA,NA,Nitzschia palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,palea,300.29,300.29,57141.82,i,Good,high
2013-10-30T00:00:00Z,00:50,STTD,Dippole bottle grab,NA,BSA,NA,Ankistrodesmus nannoselene,NA,NA,NA,NA,Soft Body,Ankistrodesmus,nannoselene,300.29,300.29,6172.63,i,Good,high
2013-10-30T00:00:00Z,00:50,STTD,Dippole bottle grab,NA,BSA,NA,Desmodesmus opoliensis var. carinatus,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Desmodesmus,opoliensis var. carinatus,300.29,1201.15,19298.35,c,Good,high
2013-10-30T00:00:00Z,00:50,STTD,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,169962.17,195966381.14,52535127.39,c,Good,high
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,180.17,180.17,286709.29,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,180.17,180.17,15679.28,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,cf. Thalassiosira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Thalassiosira,sp.,720.69,2882.75,1825774.35,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Ankistrodesmus nannoselene,NA,NA,NA,NA,Soft Body,Ankistrodesmus,nannoselene,180.17,180.17,3243.83,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlamydomonas,sp.,540.52,1621.55,82642.1,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Monoraphidium contortum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,contortum,180.17,180.17,10080.55,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Cryptomonas ovata,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Cryptomonas,ovata,360.34,720.69,5461923.73,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,180.17,180.17,60378.59,i,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,71348.08,58790815.21,15760779.72,c,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,Chroococcus minimus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Chroococcus,minimus,180.17,360.34,1294.12,c,Good,moderate
2013-12-17T00:00:00Z,04:44,LIS,Dippole bottle grab,NA,BSA,NA,cf. Planktolyngbya sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Planktolyngbya,sp.,180.17,2882.75,1650.53,f,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,180.17,180.17,10639.51,i,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,NA,Ankistrodesmus nannoselene,NA,NA,NA,NA,Soft Body,Ankistrodesmus,nannoselene,180.17,180.17,525.34,i,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlamydomonas,sp.,180.17,180.17,9182.46,i,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,NA,Monoraphidium contortum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,contortum,180.17,180.17,3173.33,i,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,NA,cf. Monoraphidium komarkovae,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,komarkovae,180.17,180.17,55370.95,i,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,NA,Cryptomonas ovata,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Cryptomonas,ovata,360.34,720.69,1309558.39,i,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,80356.67,75053131.89,20120419.75,c,Good,moderate
2013-12-03T00:00:00Z,06:05,LIS,Dippole bottle grab,NA,BSA,NA,cf. Glaucospira sp.,NA,NA,NA,NA,Soft Body,Glaucospira,sp.,180.17,1261.2,722.11,f,Good,moderate
2013-11-19T00:00:00Z,02:50,LIS,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,900.86,900.86,110605.07,i,Good,high
2013-11-19T00:00:00Z,02:50,LIS,Dippole bottle grab,NA,BSA,NA,Navicula sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navicula,sp.,900.86,900.86,299065.64,i,Good,high
2013-11-19T00:00:00Z,02:50,LIS,Dippole bottle grab,NA,BSA,NA,cf. Planothidium sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Planothidium,sp.,1801.72,3603.44,185031.16,i,Good,high
2013-11-19T00:00:00Z,02:50,LIS,Dippole bottle grab,NA,BSA,NA,Monoraphidium minutum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,minutum,900.86,900.86,15836,i,Good,high
2013-11-19T00:00:00Z,02:50,LIS,Dippole bottle grab,NA,BSA,NA,Pyramimonas sp.,Plantae,Chlorophyta,Prasinophyceae,Green Algae,Soft Body,Pyramimonas,sp.,900.86,900.86,226419.71,i,Good,high
2013-11-19T00:00:00Z,02:50,LIS,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,435115.16,419451018.8,112447413.57,c,Good,high
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,Navicula sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navicula,sp.,1801.72,3603.44,3260401.9,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,900.86,900.86,46864.52,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,Sellaphora sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Sellaphora,sp.,900.86,900.86,229389.47,i,Fragmented,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,cf. Surirella sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Surirella,sp.,900.86,900.86,452639.89,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,cf. Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlamydomonas,sp.,1801.72,3603.44,183649.11,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,Monoraphidium arcuatum,Ankistrodesmus arcuatus,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Ankistrodesmus,arcuatus,900.86,900.86,31414.46,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,Monoraphidium minutum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,minutum,1801.72,3603.44,31414.46,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,1801.72,3603.44,706400.79,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,cf. Rhodomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Rhodomonas,sp.,900.86,900.86,777224.83,i,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,389171.33,345973310.11,92749336.97,c,Good,low
2013-10-30T00:00:00Z,02:24,LIS,Dippole bottle grab,NA,BSA,NA,Chroococcus minimus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Chroococcus,minimus,900.86,3603.44,11003.55,c,Good,low
2013-12-18T00:00:00Z,01:15,STTD,Dippole bottle grab,NA,BSA,NA,Achnanthidium minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Achnanthidium,minutissimum,180.17,180.17,5264.04,i,Good,high
2013-12-18T00:00:00Z,01:15,STTD,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,180.17,180.17,22121.01,i,Good,high
2013-12-18T00:00:00Z,01:15,STTD,Dippole bottle grab,NA,BSA,NA,cf. Hippodonta sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Hippodonta,sp.,180.17,180.17,42221.03,i,Good,high
2013-12-18T00:00:00Z,01:15,STTD,Dippole bottle grab,NA,BSA,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlamydomonas,sp.,180.17,180.17,16567.21,i,Good,high
2013-12-18T00:00:00Z,01:15,STTD,Dippole bottle grab,NA,BSA,NA,Monoraphidium minutum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,minutum,360.34,720.69,10142.06,i,Good,high
2013-12-18T00:00:00Z,01:15,STTD,Dippole bottle grab,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,1081.03,6486.19,3473056.84,i,Good,high
2013-12-18T00:00:00Z,01:15,STTD,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,93869.57,99971087.34,26800483.73,c,Good,high
2015-12-04T00:00:00Z,01:45,STTD,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,900.86,900.86,110605.07,i,Good,high
2015-12-04T00:00:00Z,01:45,STTD,Dippole bottle grab,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,900.86,900.86,33171.45,i,Good,high
2015-12-04T00:00:00Z,01:45,STTD,Dippole bottle grab,NA,BSA,NA,Monoraphidium contortum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Monoraphidium,contortum,900.86,900.86,8935.67,i,Good,high
2015-12-04T00:00:00Z,01:45,STTD,Dippole bottle grab,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,573847.54,752314119.81,201682134.92,c,Good,high
2013-11-13T00:00:00Z,01:44,SHR,Dippole bottle grab,NA,BSA,NA,Achnanthidium minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Achnanthidium,minutissimum,225.21,900.86,233435.6,i,BrokenDiatoms,moderate
2013-11-13T00:00:00Z,01:44,SHR,Dippole bottle grab,NA,BSA,NA,Aulacoseira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Aulacoseira,sp.,56.3,56.3,20524.11,i,BrokenDiatoms,moderate
2013-11-13T00:00:00Z,01:44,SHR,Dippole bottle grab,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,56.3,56.3,22824.57,i,BrokenDiatoms,moderate
2013-11-13T00:00:00Z,01:44,SHR,Dippole bottle grab,NA,BSA,NA,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,112.61,225.21,56604.93,i,BrokenDiatoms,moderate
