survey,station,latitude,longitude,collection_type,date,time_pst,tidal_stage,depth_m,lab,taxon_original,taxon,kingdom,phylum,class,algal_group,genus,species,organisms_per_ml,cells_per_ml,biovolume_cubic_um_per_ml,gald_um,quality_check,debris
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-05-23,14:38:00,high_slack,0,BSA,Achnanthidium sp.,Achnanthidium sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Achnanthidium,sp.,450.4,450.4,64878.9,7.4,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-05-23,14:38:00,high_slack,0,BSA,cf. Cyclotella sp.,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,450.4,450.4,64878.9,4.6,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-05-23,14:38:00,high_slack,0,BSA,Nitzschia sp.,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,450.4,450.4,64878.9,11.1,fragmented,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-05-23,14:38:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,7657.3,7657.3,1102942,3.7,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-05-23,14:38:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,1351.3,1351.3,194636.8,6.5,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-05-23,14:38:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,188279.6,393675.6,56704194.4,0.65,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-05-23,14:38:00,high_slack,0,BSA,cf. Chroomonas rosenbergii,Chroomonas coerulea,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Chroomonas,rosenbergii,900.9,900.9,129757.9,9.3,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,Achnanthidium sp.,Achnanthidium sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Achnanthidium,sp.,375.4,375.4,54065.8,9.6,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,cf. Cyclotella sp.,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,375.4,375.4,54065.8,5.6,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,4128.9,4128.9,594723.6,2.8,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,cf. Ochromonas sp.,cf. Ochromonas sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,Ochromonas,sp.,375.4,375.4,54065.8,7.8,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,750.7,750.7,108131.6,5.6,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,150518.6,312298,44982732.4,0.65,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,cf. Planktolyngbya sp.,cf. Planktolyngbya sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Planktolyngbya,sp.,375.4,2627.5,378460.5,1.1,good,moderate
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-05-23,15:05:00,high_slack,0,BSA,cf. Chroomonas rosenbergii,Chroomonas coerulea,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Chroomonas,rosenbergii,375.4,375.4,54065.8,10.2,good,moderate
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-05-23,15:18:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,5630.4,5630.4,810986.8,3.7,good,moderate
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-05-23,15:18:00,high_slack,0,BSA,Drepanochloris nannoselene,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Drepanochloris,nannoselene,1126.1,1126.1,162197.4,4.6,good,moderate
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-05-23,15:18:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,143386.8,293530.1,42279443.2,0.65,good,moderate
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-05-23,15:18:00,high_slack,0,BSA,cf. Chroomonas nordstedtii ,cf. Chroomonas nordstedtii ,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Chroomonas,nordstedtii ,375.4,375.4,54065.8,11.1,good,moderate
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-05-25,07:35:00,high_slack,0,BSA,Cocconeis sp.,Cocconeis sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,375.4,375.4,54065.8,11.5,fragmented,moderate
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-05-25,07:35:00,high_slack,0,BSA,Cyclotella sp.,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,1501.4,1501.4,216263.1,10.2,good,moderate
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-05-25,07:35:00,high_slack,0,BSA,cf. Ulnaria sp.,cf. Ulnaria sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Ulnaria,sp.,375.4,375.4,54065.8,13,fragmented,moderate
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-05-25,07:35:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,7882.5,7882.5,1135381.5,3.7,good,moderate
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-05-25,07:35:00,high_slack,0,BSA,Monoraphidium minutum,Monoraphidium minutum,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Monoraphidium,minutum,375.4,375.4,54065.8,7.4,good,moderate
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-05-25,07:35:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,142260.7,287524.3,41414390.7,0.65,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Achnanthidium minutissimum,Achnanthidium minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Achnanthidium,minutissimum,1126.1,1126.1,162197.4,9.3,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Bacillaria paxillifera,Bacillaria paxillifera,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Bacillaria,paxillifera,563,563,81098.7,90.7,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Gomphonema parvulum,Gomphonema parvulum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Gomphonema,parvulum,563,563,81098.7,11.1,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Nitzschia palea,Nitzschia palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,palea,1126.1,1126.1,162197.4,18.5,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Nitzschia sp.,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,563,563,81098.7,37.9,fragmented,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,cf. Thalassiosira sp.,cf. Thalassiosira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,1126.1,1126.1,162197.4,5.6,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,8445.6,8445.6,1216480.1,2.8,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Monoraphidium tortile,Monoraphidium tortile,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Monoraphidium,tortile,563,563,81098.7,12,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,1689.1,1689.1,243296,8.3,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,211702,436916.9,62932572.8,0.65,good,moderate
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-05-25,08:07:00,high_slack,0,BSA,cf. Chroococcus minutus,cf. Chroococcus minutus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,minutus,1126.1,1126.1,162197.4,6,good,moderate
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-06-05,13:09:00,high_slack,0,BSA,Achnanthidium minutissimum,Achnanthidium minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Achnanthidium,minutissimum,643.5,643.5,92684.2,7.4,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-06-05,13:09:00,high_slack,0,BSA,cf. Cyclotella sp.,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,1930.4,1930.4,278052.6,4.6,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-06-05,13:09:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,7721.7,7721.7,1112210.4,3.7,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-06-05,13:09:00,high_slack,0,BSA,Drepanochloris nannoselene,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Drepanochloris,nannoselene,643.5,643.5,92684.2,4.6,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-06-05,13:09:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,643.5,643.5,92684.2,7.4,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-06-05,13:09:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,253527.6,521855.1,75166887.4,0.65,good,high
AWCA,FI_SAV_1,38.268811,-121.696786,grab_surface,2017-06-05,13:09:00,high_slack,0,BSA,cf. Synechococcus sp.,cf. Synechococcus sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Synechococcus,sp.,643.5,11582.5,1668315.6,1.9,good,high
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,Achnanthidium minutissimum,Achnanthidium minutissimum,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Achnanthidium,minutissimum,563,563,81098.7,9.3,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,Aulacoseira sp.,Aulacoseira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,sp.,563,563,81098.7,9.3,fragmented,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,Cyclotella sp.,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,1126.1,1126.1,162197.4,10.2,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,Nitzschia palea,Nitzschia palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,palea,563,563,81098.7,24.1,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,Nitzschia sp.,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,563,563,81098.7,32.4,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,7882.5,7882.5,1135381.5,2.2,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,4504.3,4504.3,648789.4,7.4,good,moderate
AWCA,FI_WAT_1,38.269808,-121.696769,grab_surface,2017-06-05,13:30:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,226341,460001.4,66257618.5,0.65,good,moderate
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-06-05,14:40:00,high_slack,0,BSA,Nitzschia sp.,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,450.4,450.4,64878.9,20.4,good,NA
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-06-05,14:40:00,high_slack,0,BSA,Nitzschia sp.,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,450.4,450.4,64878.9,13,fragmented,NA
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-06-05,14:40:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,236926.1,470248.7,67733614.4,0.65,good,NA
AWCA,LH_SAV_1,38.24546173,-121.6926934,grab_surface,2017-06-05,14:40:00,high_slack,0,BSA,Chroococcus sp.,Chroococcus sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,sp.,450.4,900.9,129757.9,2,good,NA
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-06-05,15:05:00,high_slack,0,BSA,cf. Thalassiosira sp.,cf. Thalassiosira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,750.7,750.7,108131.6,8.3,good,high
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-06-05,15:05:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,6005.7,6005.7,865052.5,3.7,good,high
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-06-05,15:05:00,high_slack,0,BSA,Monoraphidium tortile,Monoraphidium tortile,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Monoraphidium,tortile,375.4,375.4,54065.8,14.8,good,high
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-06-05,15:05:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,1126.1,1126.1,162197.4,6.5,good,high
AWCA,LH_WAT_1,38.248156,-121.691966,grab_surface,2017-06-05,15:05:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,162154.7,329564.5,47469758.5,0.65,good,high
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Amphora sp.,Amphora sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Amphora,sp.,900.9,900.9,129757.9,18.5,good,NA
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Aulacoseira sp.,Aulacoseira sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,sp.,450.4,450.4,64878.9,29.6,good,NA
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Cocconeis placentula,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Cocconeis,placentula,2702.6,2702.6,389273.6,13,good,NA
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Gomphonema sp.,Gomphonema sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Gomphonema,sp.,1351.3,1351.3,194636.8,7.4,good,NA
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Melosira varians,Melosira varians,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Melosira,varians,450.4,450.4,64878.9,25.9,good,NA
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Nitzschia sp.,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,2702.6,2702.6,389273.6,22.5,good,NA
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Ulnaria sp.,Ulnaria sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Ulnaria,sp.,450.4,450.4,64878.9,11.1,fragmented,NA
AWCA,DI_SAV_2,38.083452,-121.722303,grab_surface,2017-06-07,10:21:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,203594.3,422503.1,60856446.7,0.65,good,NA
AWCA,DI_WAT_2,38.083057,-121.721925,grab_surface,2017-06-07,10:35:00,high_slack,0,BSA,Cyclotella sp.,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,750.7,750.7,108131.6,7.4,good,moderate
AWCA,DI_WAT_2,38.083057,-121.721925,grab_surface,2017-06-07,10:35:00,high_slack,0,BSA,Chlorella sp.,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,2252.1,2252.1,324394.7,1.9,good,moderate
AWCA,DI_WAT_2,38.083057,-121.721925,grab_surface,2017-06-07,10:35:00,high_slack,0,BSA,Drepanochloris nannoselene,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Drepanochloris,nannoselene,1501.4,1501.4,216263.1,2.8,good,moderate
AWCA,DI_WAT_2,38.083057,-121.721925,grab_surface,2017-06-07,10:35:00,high_slack,0,BSA,cf. Kephyrion sp.,cf. Kephyrion sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,Kephyrion,sp.,375.4,375.4,54065.8,5.6,good,moderate
AWCA,DI_WAT_2,38.083057,-121.721925,grab_surface,2017-06-07,10:35:00,high_slack,0,BSA,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,prolonga,3378.2,3378.2,486592.1,5.6,good,moderate
AWCA,DI_WAT_2,38.083057,-121.721925,grab_surface,2017-06-07,10:35:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,147515.8,302538.7,43577022,0.65,good,moderate
AWCA,DI_WAT_2,38.083057,-121.721925,grab_surface,2017-06-07,10:35:00,high_slack,0,BSA,cf. Planktolyngbya sp.,cf. Planktolyngbya sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Planktolyngbya,sp.,375.4,3378.2,486592.1,1.9,degraded,moderate
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-06-07,11:50:00,high_slack,0,BSA,Cocconeis placentula,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Cocconeis,placentula,643.5,643.5,92684.2,20.4,good,NA
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-06-07,11:50:00,high_slack,0,BSA,Ulnaria sp.,Ulnaria sp.,Chromista,Ochrophyta,Fragilariophyceae,Pennate Diatoms,Ulnaria,sp.,643.5,643.5,92684.2,9.3,fragmented,NA
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-06-07,11:50:00,high_slack,0,BSA,Drepanochloris nannoselene,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Drepanochloris,nannoselene,321.7,321.7,46342.1,9.3,good,NA
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-06-07,11:50:00,high_slack,0,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,microscopicus,147033.1,338144.1,48705547.9,0.65,good,NA
AWCA,DI_WAT_1,38.083217,-121.719914,grab_surface,2017-06-07,11:50:00,high_slack,0,BSA,cf. Leptolyngbya sp.,cf. Leptolyngbya sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Leptolyngbya,sp.,321.7,5469.5,787815.7,1.9,good,NA
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-06-07,12:30:00,high_slack,0,BSA,Cocconeis placentula,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Cocconeis,placentula,375.4,375.4,54065.8,20.4,good,NA
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-06-07,12:30:00,high_slack,0,BSA,cf. Cyclotella sp.,cf. Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,1126.1,1126.1,162197.4,6.5,good,NA
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-06-07,12:30:00,high_slack,0,BSA,Nitzschia cf. inconspicua,Nitzschia cf. inconspicua,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,inconspicua,375.4,375.4,54065.8,7.4,good,NA
AWCA,DI_SAV_1,38.083739,-121.720128,grab_surface,2017-06-07,12:30:00,high_slack,0,BSA,Nitzschia sp.,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,1126.1,1126.1,162197.4,18.5,fragmented,NA
