Station,oldest_date,newest_date,Latitude,Longitude
OBI,8/19/2020,10/19/2018,37.96992306,-121.572174
ORCC,7/28/2021,10/19/2018,37.82437145,-121.5524492
ORF,8/19/2020,10/19/2018,38.05,-121.58
ORI,8/19/2020,10/19/2018,37.91436901,-121.5655064
P1S1,7/14/2022,7/14/2022,38.0331611,-121.601761
P1S2,7/14/2022,7/14/2022,38.03385,-121.6021389
P1S3,7/14/2022,7/14/2022,38.0324111,-121.60135
P2S1,7/14/2022,7/14/2022,38.0463,-121.59815
P2S2,7/14/2022,7/14/2022,38.04703056,-121.5992
P3S1,8/3/2022,8/3/2022,38.0278,-121.6042889
P3S2,8/3/2022,8/3/2022,38.02828056,-121.6063889
P3S3,8/3/2022,8/3/2022,38.0267,-121.6055306
P4S1,8/3/2022,8/3/2022,38.05531944,-121.5894889
P4S2,8/3/2022,8/3/2022,38.05623056,-121.589111
P5S1,8/3/2022,8/3/2022,38.0548333,-121.5993833
P6S1,11/3/2022,11/3/2022,38.0458611,-121.6200833
P6S2,11/3/2022,11/3/2022,38.0454722,-121.6186944
P6S3,11/3/2022,11/3/2022,38.04552778,-121.618611
P7S1,11/3/2022,11/3/2022,38.0454722,-121.6265
P7S2,11/3/2022,11/3/2022,38.04580556,-121.6275556
P7S3,11/3/2022,11/3/2022,38.0463333,-121.6259444
POCKETN,10/24/2019,10/23/2019,38.51454167,-121.5456278
POCKETS,10/23/2019,10/23/2019,38.473719440000004,-121.5202667
PP5,9/28/2021,9/28/2021,38.06223,-121.54922
PPT,8/18/2020,10/17/2022,38.05944444,-121.5572222
PTC,3/10/2017,3/10/2017,38.51916667,-121.6961111
PTRI,9/1/2022,10/27/2022,37.90603056,-122.3999778
RICHB,9/1/2022,10/27/2022,37.93527778,-122.4463889
RL EAST BOTTOM,9/8/2022,5/12/2022,37.83126667,-122.5279333
RL EAST TOP,8/3/2022,7/20/2020,37.83126667,-122.5279333
RL WEST BOTTOM,9/8/2022,10/14/2021,37.8303,-122.53355
RL WEST TOP,8/3/2022,7/20/2020,37.8303,-122.53355
ROW,9/1/2020,6/16/2021,38.09345,-122.0271
RRI,9/26/2022,10/26/2021,37.963,-121.365
RYG,9/1/2020,6/16/2021,38.08905,-122.0255
SAUS,9/1/2022,10/27/2022,37.82929167,-122.4391389
SB1,8/31/2022,8/25/2022,37.61112,-122.28375
SB10,9/14/2022,10/26/2022,37.56697,-122.15602
SB11,9/7/2022,9/7/2022,37.68696944,-122.2656389
SB12,9/7/2022,9/7/2022,37.65418889,-122.2374389
SB3,8/31/2022,8/31/2022,37.65666,-122.3168
SB6,9/7/2022,8/25/2022,37.50410432,-122.1205192
SB7,9/7/2022,10/26/2022,37.6463,-122.1639
SB8,8/31/2022,10/26/2022,37.5343,-122.1359
SB9,9/7/2022,8/31/2022,37.6556,-122.2645
SFAIR,9/14/2022,8/25/2022,37.65664,-122.31627
SFEI06,8/10/2022,11/15/2022,38.06491948,-122.0360745
SFEI13,8/10/2022,11/15/2022,38.02833056,-122.37
SFEI18,8/10/2022,11/15/2022,37.84666667,-122.4216667
SFEI22,8/10/2022,11/15/2022,37.765,-122.3583306
SFEI27,8/10/2022,11/15/2022,37.6182671,-122.2927466
SFEI32,8/10/2022,8/10/2022,37.51833056,-122.1333306
SFEI34,8/10/2022,6/15/2022,37.495,-122.0983306
SFEI36,7/20/2022,11/15/2022,37.47166667,-122.0666667
SFEI657,8/10/2022,11/15/2022,38.15166667,-121.6883306
SHE,9/2/2020,6/7/2021,38.05105556,-121.79695
SHL,8/31/2022,10/13/2021,37.63078889,-122.2432
SHL2,9/2/2020,6/7/2021,38.03333056,-121.7931
SHL3,9/2/2020,6/7/2021,38.05388889,-121.7878
SHS,3/15/2017,3/15/2017,38.31956944,-121.693
SIE,9/19/2022,10/24/2022,38.15665,-121.5051889
SIS,9/19/2022,10/24/2022,38.1198,-121.5428972
SJP2,7/20/2022,7/20/2022,37.9524,-121.3175
SJRBC,8/18/2020,10/17/2022,37.97527778,-121.3769444
SJRST,7/26/2021,10/17/2022,37.94686848,-121.3402249
SJRVI,7/25/2018,10/18/2018,38.05019872,-121.4968961
SJT,8/18/2021,8/18/2021,38.0757,-121.5708889
SJW,7/28/2020,10/17/2022,38.03908889,-121.4927778
SLM,9/14/2022,10/13/2021,37.6742,-122.2178
SMB,8/31/2022,6/15/2022,37.584444,-122.249722
SMS,9/12/2019,10/17/2022,38.14196111,-121.5036889
SNAG,6/28/2016,5/25/2016,38.07045,-121.96771939999999
SNOD,10/24/2019,10/24/2019,38.34991158,-121.5327322
SOI,7/18/2022,10/18/2022,38.1754222,-121.6564333
SPB1,9/1/2022,10/27/2022,37.98839167,-122.4187
SPB2,9/1/2022,10/27/2022,38.0696611,-122.4644389
SPB3,4/18/2022,4/18/2022,38.0440972,-122.3549417
SPB4,9/1/2022,10/27/2022,38.11516667,-122.3842389
SPB5,9/1/2022,10/27/2022,38.08174444,-122.3071222
SPBW,9/1/2022,10/27/2022,38.01828889,-122.3282583
SRP,10/23/2019,10/23/2019,38.31435833,-121.5772333
SS,8/17/2020,10/17/2018,38.33616667,-121.672925
SS1,7/18/2022,10/18/2022,38.33215556,-121.5829306
SSB,8/17/2020,10/17/2018,38.30791944,-121.6928306
SSS,7/18/2022,10/18/2022,38.2847222,-121.5866667
SUI,9/1/2022,10/27/2022,38.07336667,-121.9325
SXS,7/18/2022,10/18/2022,38.19153889,-121.63905
SYC,8/19/2020,10/17/2022,38.142,-121.47
TIB,9/12/2019,9/10/2019,38.15878056,-121.5862889
TOE,9/23/2021,1/11/2022,38.34916667,-121.6447222
TOEN,8/3/2016,3/1/2017,38.36513889,-121.6377417
TOL,9/7/2022,1/5/2022,38.07780833,-121.7672861
TRN,8/18/2020,10/17/2022,37.9925,-121.4538889
TWI,9/20/2022,10/25/2022,38.09661389,-121.6512444
UCS,3/8/2017,3/8/2017,38.27555556,-121.7091667
UGZ,9/1/2022,10/27/2022,38.132238890000004,-122.0116806
UPPERCS,5/6/2016,5/6/2016,38.29476111,-121.7265194
USFPT,7/24/2018,10/19/2018,38.46111944,-121.5034694
WGA,9/14/2021,1/4/2022,38.25769218,-121.5182865
WGC,8/17/2020,10/20/2022,38.22488056,-121.556725
WLS,3/10/2017,3/10/2017,38.5886611,-121.6470389
WSPIER,10/24/2019,10/24/2019,38.56831667,-121.5205694
YOLOB1,3/8/2017,3/8/2017,38.41241944,-121.6363889
YOLOB2,3/8/2017,3/8/2017,38.40161944,-121.6254694
