Date,Time,Station,Latitude,Longitude,SamplingMethod,SamplingDepth,OrigTaxon,Taxon,Kingdom,Phylum,Class,AlgalGroup,Genus,Species,Lab,Cells_per_mL,Biovolume_per_mL,QualityCheck,CurrentTaxon
2021-08-27T00:00:00Z,21:09:20,C10A,37.679167,-121.264444,Van Dorn sampler,1 meter,NA,Gomphoneis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Gomphoneis,sp.,BSA,107,124756.61,Good,None
2022-06-07T00:00:00Z,22:11:19,FT21,38.0375,-121.5891667,Submersible centrifugal pump,1 meter,NA,Plagioselmis sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,sp.,BSA,770,65315.75,Degraded,None
2022-08-03T00:00:00Z,22:10:30,P3S2,38.02828056,-121.6063889,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,1540,6450.94,Degraded,None
2021-04-29T00:00:00Z,21:16:30,SLM,37.6742,-122.2178,Submersible centrifugal pump,1 meter,NA,cf. Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,3565,209991.48,Degraded,None
2022-05-10T00:00:00Z,22:07:30,LIB,38.24301111,-121.6842861,Submersible centrifugal pump,1 meter,NA,Navicula sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Navicula,sp.,BSA,15,9858.19,Degraded,None
2022-05-10T00:00:00Z,22:07:30,LIB,38.24301111,-121.6842861,Submersible centrifugal pump,1 meter,NA,Paralia sulcata,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Paralia,sulcata,BSA,4,2892.42,Degraded,None
2022-07-20T00:00:00Z,22:08:48,GRZ,38.10853056,-122.0559806,Submersible centrifugal pump,1 meter,NA,cf. Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,2903,170993.06,Degraded,None
2018-05-17T00:00:00Z,18:13:35,DEC,38.09325203,-121.7371772,Submersible centrifugal pump,1 meter,NA,Fragilaria crotonensis,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,crotonensis,BSA,34,22482.39,Good,None
2021-08-26T00:00:00Z,21:08:50,UGZ,38.132238890000004,-122.0116806,Submersible centrifugal pump,1 meter,NA,Plagioselmis sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,sp.,BSA,4278,449521.76,Good,None
2022-02-08T00:00:00Z,22:10:00,CCH41,38.19395556,-121.6580028,Submersible centrifugal pump,1 meter,NA,Diatoma sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,sp.,BSA,107,17135.3,Good,None
2018-05-15T00:00:00Z,18:11:45,GAM,38.13028056,-121.5797,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,26,3385.19,Good,None
2016-05-20T00:00:00Z,16:12:50,DEC,38.09325203,-121.7371772,Submersible centrifugal pump,1 meter,NA,Rhopalodia sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Rhopalodia,sp.,BSA,7,3632.64,Good,None
2022-04-18T00:00:00Z,22:14:28,SPB2,38.0696611,-122.4644389,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,2182,9138.83,Degraded,None
2021-10-07T00:00:00Z,21:09:39,MRB,37.89159208,-121.4899492,Submersible centrifugal pump,1 meter,NA,Fragilariopsis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilariopsis,sp.,BSA,7,1018.34,Good,None
2022-07-20T00:00:00Z,22:10:41,PPT,38.05944444,-121.5572222,Submersible centrifugal pump,1 meter,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlamydomonas,sp.,BSA,134,17744.28,Degraded,None
2020-05-19T00:00:00Z,20:15:00,LPS,38.09638889,-121.4961111,Submersible centrifugal pump,1 meter,NA,Rhoicosphenia abbreviata,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Rhoicosphenia,abbreviata,BSA,5,2032.9,Good,None
2022-06-01T00:00:00Z,22:09:15,FPT,38.45601954,-121.5013437,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,1497,6271.75,Degraded,None
2022-07-19T00:00:00Z,22:13:30,MRB,37.89159208,-121.4899492,Submersible centrifugal pump,1 meter,NA,Cyclotella sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,BSA,107,14195.42,Degraded,None
2022-10-20T00:00:00Z,22:11:53,HOOD,38.36796663,-121.5213432,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,2139,8959.64,Degraded,None
2022-09-07T00:00:00Z,22:13:30,JPT,38.05214242,-121.6888428,Submersible centrifugal pump,1 meter,NA,Plagioselmis sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,sp.,BSA,244,20735.16,Degraded,None
2021-05-13T00:00:00Z,21:09:30,NFM,38.22333333,-121.5072222,Submersible centrifugal pump,1 meter,NA,Pseudostaurosira brevistriata,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Pseudostaurosira,brevistriata,BSA,257,26610.12,Good,None
2019-09-11T00:00:00Z,19:13:04,NMR,38.14366944,-121.5595389,Submersible centrifugal pump,1 meter,NA,Cocconeis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,BSA,36,14783.4,Good,None
2022-06-21T00:00:00Z,22:10:05,FTMI11,37.99555556,-121.5177778,Submersible centrifugal pump,1 meter,NA,Gyrosigma sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Gyrosigma,sp.,BSA,31,244452.28,Degraded,None
2022-09-13T00:00:00Z,22:09:15,FPT,38.45601954,-121.5013437,Submersible centrifugal pump,1 meter,NA,Rhodomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Rhodomonas,sp.,BSA,31,16455.33,Degraded,None
2021-10-05T00:00:00Z,21:11:35,14MILE,38.04221944,-121.405,Submersible centrifugal pump,1 meter,NA,Rhodomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Rhodomonas,sp.,BSA,267,135514.5,Good,None
2022-06-21T00:00:00Z,22:11:40,FT02,38.05416667,-121.5980556,Submersible centrifugal pump,1 meter,NA,Cocconeis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,BSA,428,188488.35,Degraded,None
2022-10-20T00:00:00Z,22:11:53,HOOD,38.36796663,-121.5213432,Submersible centrifugal pump,1 meter,NA,Aulacoseira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,sp.,BSA,15,46004.88,Degraded,None
2022-01-18T00:00:00Z,22:09:45,JPT,38.05214242,-121.6888428,Submersible centrifugal pump,1 meter,NA,Rhodomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Rhodomonas,sp.,BSA,321,167699.2,Good,None
2022-07-19T00:00:00Z,22:10:15,SMS,38.14196111,-121.5036889,Submersible centrifugal pump,1 meter,NA,Cryptomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Cryptomonas,sp.,BSA,53,193528.15,Degraded,None
2016-04-07T00:00:00Z,16:15:45,CCH,38.21277778,-121.6691667,Van Dorn sampler,1 meter,NA,Caloneis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Caloneis,sp.,BSA,0,278,Good,None
2021-05-14T00:00:00Z,21:10:00,CFL,38.04953056,-121.88755,Submersible centrifugal pump,1 meter,NA,Diploneis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,sp.,BSA,7,37150.77,Good,None
2022-07-19T00:00:00Z,22:14:00,ORCC,37.82437145,-121.5524492,Submersible centrifugal pump,1 meter,NA,Rhoicosphenia sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Rhoicosphenia,sp.,BSA,122,23343.28,Degraded,None
2022-07-27T00:00:00Z,22:11:47,FT14,38.0408333,-121.6119444,Submersible centrifugal pump,1 meter,NA,Kephyrion sp.,Chromista,Bacillariophyte,Chrysophyceae,Chrysophytes,Kephyrion,sp.,BSA,31,1279.95,Degraded,None
2022-05-17T00:00:00Z,22:10:27,SJRST,37.94686848,-121.3402249,Submersible centrifugal pump,1 meter,NA,Kephyrion sp.,Chromista,Bacillariophyte,Chrysophyceae,Chrysophytes,Kephyrion,sp.,BSA,53,4199.83,Degraded,None
2022-06-07T00:00:00Z,22:10:22,FT05,38.04416667,-121.6288889,Submersible centrifugal pump,1 meter,NA,Rhodomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Rhodomonas,sp.,BSA,24,26829.13,Degraded,None
2022-02-16T00:00:00Z,22:09:00,TOL,38.07780833,-121.7672861,Submersible centrifugal pump,1 meter,NA,Chrysococcus sp.,Chromista,Bacillariophyte,Chrysophyceae,Chrysophytes,Chrysococcus,sp.,BSA,190,12443.94,Good,None
2021-11-17T00:00:00Z,21:12:15,JPT,38.05214242,-121.6888428,Submersible centrifugal pump,1 meter,NA,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,microscopica,BSA,18334,4915,Good,None
2021-08-18T00:00:00Z,21:08:00,LIB,38.24301111,-121.6842861,Submersible centrifugal pump,1 meter,NA,Kephyrion sp.,Chromista,Bacillariophyte,Chrysophyceae,Chrysophytes,Kephyrion,sp.,BSA,71,3583.85,Good,None
2020-07-15T00:00:00Z,20:09:00,JPT,38.05214242,-121.6888428,Submersible centrifugal pump,1 meter,NA,Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,61,34846.59,Good,None
2021-08-27T00:00:00Z,21:09:20,C10A,37.679167,-121.264444,Van Dorn sampler,1 meter,NA,Craticula sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,sp.,BSA,18,7416.46,Good,None
2022-02-03T00:00:00Z,22:11:45,WGA,38.25769218,-121.5182865,Submersible centrifugal pump,1 meter,NA,Navicula sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Navicula,sp.,BSA,178,87356.46,Good,None
2017-03-15T00:00:00Z,17:09:30,TOEN,38.36513889,-121.6377417,Submersible centrifugal pump,1 meter,NA,Aulacoseira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,sp.,BSA,17,3392.92,Good,None
2021-06-17T00:00:00Z,21:12:45,TOL,38.07780833,-121.7672861,Submersible centrifugal pump,1 meter,NA,Paralia sulcata,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Paralia,sulcata,BSA,7,3422.98,Good,None
2020-06-11T00:00:00Z,20:12:10,ORCC,37.82437145,-121.5524492,Submersible centrifugal pump,1 meter,NA,Nitzschia sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,BSA,214,10908.68,Good,None
2018-10-17T00:00:00Z,18:10:37,MLD,38.04269787,-121.9202374,Submersible centrifugal pump,1 meter,NA,Eunotia sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Eunotia,sp.,BSA,9,396.7,Good,None
2016-05-25T00:00:00Z,16:09:50,SNAG,38.07045,-121.96771939999999,Submersible centrifugal pump,1 meter,NA,cf. Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,1711,24191.02,Good,None
2022-07-18T00:00:00Z,22:09:45,SIS,38.1198,-121.5428972,Van Dorn sampler,1 meter,NA,Cyclotella sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,BSA,1069,2150312.74,Degraded,None
2022-08-03T00:00:00Z,22:10:30,P3S2,38.02828056,-121.6063889,Submersible centrifugal pump,1 meter,NA,Thalassiosira tenera,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,tenera,BSA,642,37798.47,Degraded,None
2021-05-11T00:00:00Z,21:13:40,WGA,38.25769218,-121.5182865,Submersible centrifugal pump,1 meter,NA,Cyclotella sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,BSA,49,23260.59,Good,None
2022-08-10T00:00:00Z,22:08:45,SFEI22,37.765,-122.3583306,Phytoplankton net,1 meter,NA,Nitzschia sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Nitzschia,sp.,BSA,684,39356.82,Degraded,None
2022-07-20T00:00:00Z,22:11:15,SJW,38.03908889,-121.4927778,Submersible centrifugal pump,1 meter,NA,Rhodomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Rhodomonas,sp.,BSA,187,100788.91,Degraded,None
2021-06-24T00:00:00Z,21:13:00,MDM,37.9427017,-121.5341175,Submersible centrifugal pump,1 meter,NA,Aphanizomenon sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,sp.,BSA,17582,220944.63,Good,None
2019-09-24T00:00:00Z,19:12:45,LPS,38.09638889,-121.4961111,Van Dorn sampler,1 meter,NA,Cocconeis placentula,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,placentula,BSA,13,5336.25,Good,None
2021-09-23T00:00:00Z,21:10:00,LIB,38.24301111,-121.6842861,Submersible centrifugal pump,1 meter,NA,Sellaphora sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Sellaphora,sp.,BSA,86,39014.58,Good,None
2018-05-15T00:00:00Z,18:13:30,ORI,37.91436901,-121.5655064,Submersible centrifugal pump,1 meter,NA,Fragilaria sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,sp.,BSA,17,736.85,Good,None
2021-10-07T00:00:00Z,21:13:14,WGA,38.25769218,-121.5182865,Submersible centrifugal pump,1 meter,NA,Gyrosigma sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Gyrosigma,sp.,BSA,4,13881.12,Good,None
2020-10-06T00:00:00Z,20:10:50,LIB,38.24301111,-121.6842861,Submersible centrifugal pump,1 meter,NA,Fragilariopsis kerguelensis,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilariopsis,kerguelensis,BSA,4,1083.94,Good,None
2021-10-04T00:00:00Z,21:11:22,SSB,38.30791944,-121.6928306,Submersible centrifugal pump,1 meter,NA,Cocconeis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,BSA,4,1600.24,Good,None
2020-07-15T00:00:00Z,20:12:45,DEC,38.09325203,-121.7371772,Submersible centrifugal pump,1 meter,NA,Achnanthidium sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Achnanthidium,sp.,BSA,33,1292.26,Good,None
2018-07-25T00:00:00Z,18:07:20,PPT,38.05944444,-121.5572222,Submersible centrifugal pump,1 meter,NA,Aulacoseira granulata,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,granulata,BSA,71,69819.62,Good,None
2020-07-27T00:00:00Z,20:11:25,WGA,38.25769218,-121.5182865,Submersible centrifugal pump,1 meter,NA,Cocconeis placentula,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,placentula,BSA,66,35821.32,Good,None
2018-10-18T00:00:00Z,18:09:15,NFM,38.22333333,-121.5072222,Submersible centrifugal pump,1 meter,NA,Rhodomonas sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Rhodomonas,sp.,BSA,18,740.51,Good,None
2020-03-10T00:00:00Z,20:13:45,FPT,38.45601954,-121.5013437,Submersible centrifugal pump,1 meter,NA,Achnanthidium minutissimum,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Achnanthidium,minutissimum,BSA,53,3527.86,Good,None
2022-06-07T00:00:00Z,22:12:40,FTMI13,37.9883333,-121.5191667,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,1241,5196.59,Degraded,None
2022-06-23T00:00:00Z,22:10:30,GRZ,38.10853056,-122.0559806,Submersible centrifugal pump,1 meter,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlamydomonas,sp.,BSA,143,18815.24,Degraded,None
2022-08-23T00:00:00Z,22:08:30,MDM,37.9427017,-121.5341175,Unknown,1 meter,NA,Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,92,60981.53,Degraded,None
2022-10-19T00:00:00Z,22:08:44,TOL,38.07780833,-121.7672861,Submersible centrifugal pump,1 meter,NA,Plagioselmis sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,sp.,BSA,455,38554.44,Degraded,None
2016-05-06T00:00:00Z,16:14:30,MID PROSPECT,38.30573889,-121.6574611,Submersible centrifugal pump,1 meter,NA,Cyclotella sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Cyclotella,sp.,BSA,132,20496.29,Good,None
2022-05-31T00:00:00Z,22:12:30,TOE,38.34916667,-121.6447222,Submersible centrifugal pump,1 meter,NA,cf. Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,2139,125994.89,Degraded,None
2018-10-19T00:00:00Z,18:09:10,MRB,37.89159208,-121.4899492,Submersible centrifugal pump,1 meter,NA,Cocconeis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,BSA,26,9044.81,Good,None
2022-03-08T00:00:00Z,22:11:00,CFL,38.04953056,-121.88755,Submersible centrifugal pump,1 meter,NA,Cocconeis placentula,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,placentula,BSA,401,176707.83,Good,None
2022-08-31T00:00:00Z,22:07:16,SLM,37.6742,-122.2178,Submersible centrifugal pump,1 meter,NA,Staurosira sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Staurosira,sp.,BSA,61,6719.73,Degraded,None
2022-08-03T00:00:00Z,22:10:30,P3S2,38.02828056,-121.6063889,Submersible centrifugal pump,1 meter,NA,Scenedesmus sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Scenedesmus,sp.,BSA,513,12095.51,Degraded,None
2021-07-20T00:00:00Z,21:10:00,CFL,38.04953056,-121.88755,Submersible centrifugal pump,1 meter,NA,Microcystis sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Microcystis,sp.,BSA,58,1304.54,Good,None
2022-11-02T00:00:00Z,22:13:00,FPT,38.45601954,-121.5013437,Peristaltic pump,1 meter,NA,Kephyrion sp.,Chromista,Bacillariophyte,Chrysophyceae,Chrysophytes,Kephyrion,sp.,BSA,92,3839.84,Degraded,None
